mineral,scenario,year,demand_kt,supply_kt,gap_kt
Copper,STEPS,2024,7737.022798473832,22794.0,15056.977201526168
Copper,STEPS,2030,10909.949595041064,24271.0,13361.050404958936
Copper,STEPS,2035,11539.621729070524,19794.0,8254.378270929476
Copper,STEPS,2040,12162.357367023098,15836.0,3673.642632976902
Copper,NZE,2030,12577.797080015753,33666.0,21088.202919984247
Copper,NZE,2035,14579.46234286481,31913.0,17333.537657135188
Copper,NZE,2040,16351.629862104935,31143.0,14791.370137895065
Copper,NZE,2030,15165.6671586128,33666.0,18500.3328413872
Copper,NZE,2035,19420.127234147385,31913.0,12492.872765852615
Copper,NZE,2040,19845.60471172003,31143.0,11297.395288279971
Cobalt,STEPS,2024,70.5868,273.3371039575119,202.7503039575119
Cobalt,STEPS,2030,148.242,320.6492073598024,172.4072073598024
Cobalt,STEPS,2035,146.435,256.7943470724652,110.3593470724652
Cobalt,STEPS,2040,135.831,214.2635754301805,78.43257543018052
Cobalt,NZE,2030,167.6,325.1867133384204,157.58671333842042
Cobalt,NZE,2035,181.126,333.3939742419237,152.26797424192367
Cobalt,NZE,2040,183.682,333.0159742419237,149.3339742419237
Cobalt,NZE,2030,243.407,325.1867133384204,81.77971333842041
Cobalt,NZE,2035,273.869,333.3939742419237,59.524974241923644
Cobalt,NZE,2040,247.711,333.0159742419237,85.30497424192367
Lithium,STEPS,2024,128.001,255.4479525024,127.4469525024
Lithium,STEPS,2030,368.725,471.1890876660015,102.46408766600149
Lithium,STEPS,2035,588.976,448.8555738040015,-140.1204261959985
Lithium,STEPS,2040,808.706,417.79152457142,-390.91447542858003
Lithium,NZE,2030,417.777,450.15462118,32.377621180000006
Lithium,NZE,2035,729.121,461.1961516399999,-267.92484836000006
Lithium,NZE,2040,1081.16,461.4593516399999,-619.7006483600002
Lithium,NZE,2030,614.714,450.15462118,-164.55937882000006
Lithium,NZE,2035,1109.99,461.1961516399999,-648.7938483600001
Lithium,NZE,2040,1426.81,461.4593516399999,-965.35064836
Nickel,STEPS,2024,561.724,3861.0,3299.276
Nickel,STEPS,2030,1349.25,4490.86551724138,3141.61551724138
Nickel,STEPS,2035,1953.11,4470.165517241379,2517.0555172413797
Nickel,STEPS,2040,2381.06,4537.96551724138,2156.9055172413805
Nickel,NZE,2030,1646.66,4502.808,2856.148
Nickel,NZE,2035,2529.33,4427.958,1898.6279999999997
Nickel,NZE,2040,3200.82,4427.958,1227.1379999999995
Nickel,NZE,2030,2415.2,4502.808,2087.608
Nickel,NZE,2035,3762.58,4427.958,665.3779999999997
Nickel,NZE,2040,4103.14,4427.958,324.8179999999993
Magnet rare earth elements,STEPS,2024,18.855088000000002,75.09879032554382,56.243702325543815
Magnet rare earth elements,STEPS,2030,37.846615,100.30252254255056,62.45590754255056
Magnet rare earth elements,STEPS,2035,46.141496999999994,108.67710912420878,62.53561212420879
Magnet rare earth elements,STEPS,2040,46.58106900000001,108.67710912420878,62.09604012420878
Magnet rare earth elements,NZE,2030,46.89389,106.68198331763352,59.788093317633525
Magnet rare earth elements,NZE,2035,55.27553999999999,114.5007436441706,59.225203644170605
Magnet rare earth elements,NZE,2040,60.04874999999999,114.5007436441706,54.45199364417061
Magnet rare earth elements,NZE,2030,62.61579,106.68198331763352,44.06619331763353
Magnet rare earth elements,NZE,2035,79.53685,114.5007436441706,34.9638936441706
Magnet rare earth elements,NZE,2040,70.52392,114.5007436441706,43.976823644170594
