mineral,technology,scenario,year,demand_kt
Chromium - Mining,Wind,STEPS,2024,66.1026
Chromium - Mining,Wind,STEPS,2030,96.3407
Chromium - Mining,Wind,STEPS,2035,87.2184
Chromium - Mining,Wind,STEPS,2040,74.7576
Chromium - Mining,Wind,STEPS,2045,82.649
Chromium - Mining,Wind,STEPS,2050,103.508
Chromium - Mining,Wind,NZE,2030,132.832
Chromium - Mining,Wind,NZE,2035,121.542
Chromium - Mining,Wind,NZE,2040,108.13
Chromium - Mining,Wind,NZE,2045,112.572
Chromium - Mining,Wind,NZE,2050,153.385
Chromium - Mining,Wind,NZE,2030,173.024
Chromium - Mining,Wind,NZE,2035,187.602
Chromium - Mining,Wind,NZE,2040,137.575
Chromium - Mining,Wind,NZE,2045,129.257
Chromium - Mining,Wind,NZE,2050,164.196
Other low emissions power generation - Mining,Wind,STEPS,2024,175.21540000000002
Other low emissions power generation - Mining,Wind,STEPS,2030,253.3563
Other low emissions power generation - Mining,Wind,STEPS,2035,211.9396
Other low emissions power generation - Mining,Wind,STEPS,2040,258.7564
Other low emissions power generation - Mining,Wind,STEPS,2045,235.518
Other low emissions power generation - Mining,Wind,STEPS,2050,207.505
Other low emissions power generation - Mining,Wind,NZE,2030,363.404
Other low emissions power generation - Mining,Wind,NZE,2035,352.875
Other low emissions power generation - Mining,Wind,NZE,2040,357.504
Other low emissions power generation - Mining,Wind,NZE,2045,354.116
Other low emissions power generation - Mining,Wind,NZE,2050,385.4740000000001
Other low emissions power generation - Mining,Wind,NZE,2030,541.947
Other low emissions power generation - Mining,Wind,NZE,2035,538.803
Other low emissions power generation - Mining,Wind,NZE,2040,467.121
Other low emissions power generation - Mining,Wind,NZE,2045,372.924
Other low emissions power generation - Mining,Wind,NZE,2050,300.317
Other low emissions power generation - Mining,Wind,STEPS,2024,241.318
Other low emissions power generation - Mining,Wind,STEPS,2030,349.697
Other low emissions power generation - Mining,Wind,STEPS,2035,299.158
